Rank,Team,Conference,W-L,AdjustO,AdjustO Rank,AdjustD,AdjustD Rank,AdjustT,AdjustT Rank,Luck,Luck Rank,SOS OppO,SOS OppO Rank,SOS OppD,SOS OppD Rank,Season
1,Duke 1,ACC,31-3,128.0,3,89.8,4,65.7,266,-0.019,229,112.4,48,102.4,63,2025
2,Florida 1,SEC,30-4,128.6,1,92.4,10,69.6,59,0.007,159,114.5,17,100.0,19,2025
3,Houston 1,B12,30-4,123.2,10,87.8,2,61.4,360,0.015,137,113.5,34,99.9,17,2025
4,Auburn 1,SEC,28-5,128.4,2,93.4,12,67.6,153,0.03,100,117.1,2,98.1,2,2025
5,Tennessee 2,SEC,27-7,120.3,18,89.1,3,63.6,346,0.016,134,116.6,4,100.7,32,2025
6,Alabama 2,SEC,25-8,126.5,4,96.6,32,74.9,1,0.029,103,118.2,1,98.7,3,2025
7,Texas Tech 3,B12,25-8,125.3,6,97.2,37,65.4,281,-0.045,293,111.8,57,100.6,31,2025
8,Michigan St. 2,B10,27-6,118.1,27,90.6,5,67.7,144,-0.009,206,114.2,24,100.8,39,2025
9,Gonzaga 8,WCC,25-8,123.6,9,96.3,29,70.2,46,-0.074,341,110.8,74,103.8,81,2025
10,Iowa St. 3,B12,24-9,119.4,20,92.4,9,68.6,102,-0.048,298,113.3,38,100.7,38,2025
11,St. John's 2,BE,30-4,113.9,65,87.5,1,70.1,49,-0.019,232,111.8,60,102.7,65,2025
12,Maryland 4,B10,25-8,118.1,28,91.8,6,69.8,56,-0.038,280,113.0,42,102.1,56,2025
13,Wisconsin 3,B10,26-9,122.0,13,96.0,27,67.6,152,-0.033,270,114.2,22,100.4,26,2025
14,Arizona 4,B12,22-12,122.5,12,96.8,33,69.9,54,-0.049,303,115.2,7,98.8,4,2025
15,Missouri 6,SEC,22-11,125.3,5,100.9,73,68.2,121,-0.048,297,113.7,26,100.7,37,2025
16,Kentucky 3,SEC,22-11,123.8,8,99.5,56,70.9,23,0.007,157,116.8,3,99.0,6,2025
17,Texas A&M 4,SEC,22-10,116.2,44,92.1,7,66.1,237,0.001,176,115.5,5,99.3,10,2025
18,Clemson 5,ACC,27-6,118.7,24,94.7,16,64.2,327,-0.032,267,111.4,63,103.1,74,2025
19,Purdue 4,B10,22-11,124.2,7,100.4,63,65.0,297,-0.007,197,115.4,6,99.7,15,2025
20,Illinois 6,B10,21-12,121.6,15,98.1,41,71.3,18,-0.018,227,115.0,10,99.0,7,2025
21,Kansas 7,B12,21-12,116.0,48,92.7,11,68.3,113,-0.024,250,114.8,12,99.3,9,2025
22,Saint Mary's 7,WCC,28-5,115.3,56,92.2,8,61.7,359,0.005,163,111.0,71,105.6,123,2025
23,Louisville 8,ACC,27-7,118.1,29,95.5,21,68.7,90,0.058,54,112.6,46,102.3,59,2025
24,BYU 6,B12,24-9,123.0,11,100.6,68,67.2,180,0.036,85,111.8,58,100.7,34,2025
25,Michigan 5,B10,25-9,116.0,47,93.7,14,69.4,65,0.07,42,114.4,18,99.6,11,2025
26,Mississippi 6,SEC,22-11,117.8,31,95.8,25,68.0,130,0.018,130,115.1,8,99.3,8,2025
27,UCLA 7,B10,22-10,116.8,35,95.1,17,64.9,301,-0.008,202,113.6,28,101.1,45,2025
28,Marquette 7,BE,23-10,117.7,32,96.1,28,67.6,156,-0.013,214,113.0,41,100.5,30,2025
29,Baylor 9,B12,19-14,120.8,16,99.7,58,64.5,319,-0.054,314,113.7,27,98.0,1,2025
30,VCU 11,A10,28-6,116.3,41,95.7,23,66.1,241,-0.051,310,106.9,153,105.6,121,2025
31,Oregon 5,B10,24-9,116.6,39,96.5,31,67.6,151,0.085,28,114.3,19,100.2,21,2025
32,Mississippi St. 8,SEC,21-12,118.7,23,98.6,47,68.1,124,0.012,144,115.0,9,100.2,23,2025
33,North Carolina 11,ACC,22-13,118.9,22,99.3,53,70.4,34,-0.019,234,113.3,37,101.2,48,2025
34,Georgia 9,SEC,20-12,115.4,54,96.0,26,66.4,221,-0.001,184,113.9,25,100.2,22,2025
35,Connecticut 8,BE,23-10,121.9,14,102.6,94,63.7,344,-0.019,233,112.0,52,102.0,54,2025
36,UC San Diego 12,BW,30-4,115.2,57,96.5,30,65.6,271,0.01,151,105.8,212,107.4,176,2025
37,Creighton 9,BE,24-10,116.9,34,98.2,42,67.0,192,0.049,70,112.2,50,100.7,33,2025
38,Oklahoma 9,SEC,20-13,119.0,21,100.7,70,68.5,106,0.005,162,114.5,16,99.9,18,2025
39,Ohio St.,B10,17-15,117.6,33,99.3,54,67.0,195,-0.07,333,114.6,14,100.3,25,2025
40,Arkansas 10,SEC,20-13,112.9,73,95.2,20,69.3,68,-0.008,201,114.7,13,100.9,41,2025
41,New Mexico 10,MWC,26-7,112.5,79,95.2,19,72.7,4,-0.0,181,109.1,92,102.8,69,2025
42,Colorado St. 12,MWC,25-9,116.2,43,98.9,49,65.9,252,0.025,116,109.4,89,103.5,78,2025
43,Xavier 11,BE,21-11,115.5,52,98.3,44,69.1,74,-0.02,238,111.1,68,101.7,53,2025
44,Texas 11,SEC,19-15,116.7,37,99.5,57,67.4,172,-0.057,317,114.2,23,100.2,20,2025
45,Northwestern,B10,17-16,113.9,64,97.5,39,64.9,299,-0.089,350,113.6,32,101.2,47,2025
46,San Diego St. 11,MWC,21-9,109.8,111,93.5,13,66.0,245,0.01,153,111.1,66,102.4,62,2025
47,SMU,ACC,23-10,116.6,40,100.4,64,68.4,109,0.011,147,110.2,79,104.2,92,2025
48,Indiana,B10,19-13,113.6,68,97.4,38,67.9,136,0.024,118,114.3,20,101.1,44,2025
49,Vanderbilt 10,SEC,20-12,117.9,30,101.8,83,69.4,64,0.025,112,113.6,30,100.7,36,2025
50,Boise St.,MWC,24-10,116.0,46,100.0,60,65.2,291,0.001,177,109.1,93,102.7,67,2025
51,Memphis 5,Amer,29-5,113.1,72,97.8,40,70.8,27,0.09,20,111.1,69,105.0,105,2025
52,Utah St. 10,MWC,26-7,120.7,17,105.5,149,67.5,159,0.086,25,108.7,95,103.0,70,2025
53,West Virginia,B12,19-13,109.0,131,93.9,15,64.2,329,0.023,120,113.0,43,99.8,16,2025
54,Nebraska,B10,17-14,113.2,71,98.4,45,67.3,173,-0.01,207,113.6,29,101.5,51,2025
55,Cincinnati,B12,18-15,110.5,100,95.7,24,65.4,280,-0.049,302,112.3,49,100.9,40,2025
56,Villanova,BE,19-14,118.2,26,104.0,113,63.0,354,-0.072,335,110.4,77,102.7,66,2025
57,Santa Clara,WCC,20-12,115.8,49,101.7,81,68.8,88,-0.051,312,109.5,87,105.3,113,2025
58,Drake 11,MVC,30-3,112.6,76,98.5,46,58.8,364,0.004,167,107.2,137,107.7,190,2025
59,McNeese 12,Slnd,27-6,114.3,63,100.6,66,65.3,283,-0.023,249,104.6,268,107.1,164,2025
60,Penn St.,B10,16-15,114.7,62,101.0,74,69.8,55,-0.093,354,111.9,56,102.6,64,2025
61,Pittsburgh,ACC,17-15,115.7,50,102.1,85,66.2,233,-0.068,331,111.8,59,103.1,72,2025
62,Liberty 12,CUSA,28-6,112.5,80,98.9,48,65.3,284,0.0,179,105.9,205,105.5,116,2025
